;timestamp;Signalname;interpreted_value
403;64193893871200.0;S-A;c
404;64197693967300.0;S-A;a
405;64213034613600.0;S-A;e
406;64213334646800.0;S-A;a
407;64215674812700.0;S-A;e
408;64215975249000.0;S-A;a
409;64230794325800.0;S-A;c
410;64231094282000.0;S-A;a
411;64249035520600.0;S-A;c
412;64249235275100.0;S-A;a
413;64287737046800.0;S-A;e
414;64288036529300.0;S-A;a
415;64302137089100.0;S-A;e
416;64302436598000.0;S-A;a
417;64327766312900.0;S-A;c
418;64328266299800.0;S-A;a
419;64342947286800.0;S-A;e
420;64343246676200.0;S-A;a
421;64358606679800.0;S-A;c
422;64358906708800.0;S-A;a
423;64362266752800.0;S-A;c
424;64362467009000.0;S-A;a
425;64374567222800.0;S-A;e
426;64374967237600.0;S-A;a
427;64381767528500.0;S-A;e
428;64382067546900.0;S-A;a
429;64395148179000.0;S-A;c
430;64395447737200.0;S-A;a
431;64396647226800.0;S-A;c
432;64396948032800.0;S-A;a
433;64408348354000.0;S-A;e
434;64408548529000.0;S-A;a
435;64410748545000.0;S-A;e
436;64411047816400.0;S-A;a
437;64583671040300.0;S-A;c
438;64583971334000.0;S-A;a
439;64629041861200.0;S-A;e
440;64629241666800.0;S-A;a
441;64643321901400.0;S-A;e
442;64643521908200.0;S-A;a
443;64655381922800.0;S-A;c
444;64655682083200.0;S-A;a
445;64729062727100.0;S-A;e
446;64729362710000.0;S-A;a
447;64766443422100.0;S-A;c
448;64766843402000.0;S-A;a
449;64800525689200.0;S-A;e
450;64800824974700.0;S-A;a
451;64833044854400.0;S-A;c
452;64833245449400.0;S-A;a
453;64845225012500.0;S-A;e
454;64845425178500.0;S-A;a
455;64861005070800.0;S-A;c
456;64861305083700.0;S-A;a
457;64872225165500.0;S-A;e
458;64872525246800.0;S-A;a
459;64882305221400.0;S-A;c
460;64882605235500.0;S-A;a
461;64885665188700.0;S-A;c
462;64886165255200.0;S-A;a
463;64895265610200.0;S-A;e
464;64895565579200.0;S-A;a
465;64915245518100.0;S-A;e
466;64915645568900.0;S-A;a
467;64922326309200.0;S-A;c
468;64922826249500.0;S-A;a
469;64930486283600.0;S-A;e
470;64930786333100.0;S-A;a
471;64964516432400.0;S-A;c
472;64964816424800.0;S-A;a
473;64982397336800.0;S-A;e
474;64982797220400.0;S-A;a
475;65002197126300.0;S-A;c
476;65002397302200.0;S-A;a
477;65010957435600.0;S-A;c
478;65011257418000.0;S-A;a
479;65023557981100.0;S-A;e
480;65023958026000.0;S-A;a
481;65089019322800.0;S-A;e
482;65089518977900.0;S-A;a
483;65101739518500.0;S-A;c
484;65102039184500.0;S-A;a
485;65116378654400.0;S-A;e
486;65116678675500.0;S-A;a
487;65122919000500.0;S-A;c
488;65123119209600.0;S-A;a
489;65132039325200.0;S-A;e
490;65132339314400.0;S-A;a
491;65158979408800.0;S-A;c
492;65159379291900.0;S-A;a
493;65218440785000.0;S-A;c
494;65218640976000.0;S-A;a
495;65237880653700.0;S-A;e
496;65238180566800.0;S-A;a
497;65241420721200.0;S-A;e
498;65241720730200.0;S-A;a
499;65279951212300.0;S-A;c
500;65280151067800.0;S-A;a
501;65288051538800.0;S-A;e
502;65288351539700.0;S-A;a
503;65333294069200.0;S-A;c
504;65333594302100.0;S-A;a
505;65341573772100.0;S-A;c
506;65341873947600.0;S-A;a
